run,variant,frequency,solution,generation,fitness
0,A,0.05,0,0,-2.2482563206936237
0,A,0.05,0,1,-1.8850047614035546
0,A,0.05,0,2,-2.733863974487186
0,A,0.05,0,3,-1.9045111624607747
0,A,0.05,0,4,-1.7096602741797386
0,A,0.05,0,5,-2.463183413497601
0,A,0.05,0,6,-1.3425583144494049
0,A,0.05,0,7,-1.7549800893878413
0,A,0.05,0,8,-2.4837855175964996
0,A,0.05,0,9,-2.5978418368219294
0,A,0.05,1,0,1.1984466285036561
0,A,0.05,1,1,1.5670808123719748
0,A,0.05,1,2,1.4916241963794517
0,A,0.05,1,3,1.3463201223090968
0,A,0.05,1,4,1.099687285338551
0,A,0.05,1,5,1.7479405517725837
0,A,0.05,1,6,1.364994558487677
0,A,0.05,1,7,1.3899565228198285
0,A,0.05,1,8,1.1397490580220722
0,A,0.05,1,9,1.0233611614365332
0,A,0.05,2,0,1.8202859140715664
0,A,0.05,2,1,1.4567284604235426
0,A,0.05,2,2,0.13871402632553398
0,A,0.05,2,3,1.10704693415032
0,A,0.05,2,4,1.7966629762882083
0,A,0.05,2,5,0.2947139304053122
0,A,0.05,2,6,0.14262010751963916
0,A,0.05,2,7,-0.014022102465834067
0,A,0.05,2,8,0.6269514287081543
0,A,0.05,2,9,1.1464446748797485
0,A,0.05,3,0,1.4876738327887458
0,A,0.05,3,1,1.6530355460716049
0,A,0.05,3,2,1.9028577578511523
0,A,0.05,3,3,2.0910573438379196
0,A,0.05,3,4,1.7592409469892678
0,A,0.05,3,5,2.0273401437752643
0,A,0.05,3,6,1.4963614429779244
0,A,0.05,3,7,1.57648266140363
0,A,0.05,3,8,1.678620382804707
0,A,0.05,3,9,1.8955416998497847
0,A,0.05,4,0,2.2227386808633844
0,A,0.05,4,1,1.8745822495697115
0,A,0.05,4,2,2.061427431718796
0,A,0.05,4,3,2.09616456747248
0,A,0.05,4,4,1.7035248398491152
0,A,0.05,4,5,1.8733122554087172
0,A,0.05,4,6,2.2770509780288237
0,A,0.05,4,7,1.864941686724908
0,A,0.05,4,8,1.2734249636096262
0,A,0.05,4,9,1.4722014798329222
0,A,0.05,5,0,-0.24643237887350591
0,A,0.05,5,1,-0.3500960253092156
0,A,0.05,5,2,-0.5293852596647243
0,A,0.05,5,3,-0.1139801181181773
0,A,0.05,5,4,-0.409155943410011
0,A,0.05,5,5,-0.17106177946329548
0,A,0.05,5,6,-0.10666548037262712
0,A,0.05,5,7,-0.3916641201362043
0,A,0.05,5,8,-0.20773607262724117
0,A,0.05,5,9,-0.13223865632034493
0,A,0.05,6,0,3.0150096393292856
0,A,0.05,6,1,2.485698375488801
0,A,0.05,6,2,2.280496893717925
0,A,0.05,6,3,3.1604857763363308
0,A,0.05,6,4,2.5994536406791773
0,A,0.05,6,5,2.2959452054246614
0,A,0.05,6,6,2.5081957420570666
0,A,0.05,6,7,2.9905117776077716
0,A,0.05,6,8,2.5924628596364503
0,A,0.05,6,9,2.9107706527171904
0,A,0.05,7,0,1.2303860280240169
0,A,0.05,7,1,1.906980531830789
0,A,0.05,7,2,2.1753751098387992
0,A,0.05,7,3,1.9848833114483
0,A,0.05,7,4,1.8071555260138565
0,A,0.05,7,5,1.06120769086974
0,A,0.05,7,6,2.0703434812662214
0,A,0.05,7,7,1.7195485378590005
0,A,0.05,7,8,1.8624402619672311
0,A,0.05,7,9,1.4414961335658742
0,A,0.05,8,0,-1.126993606114768
0,A,0.05,8,1,-0.30181436330942946
0,A,0.05,8,2,-1.025343011546914
0,A,0.05,8,3,-0.6483397864398938
0,A,0.05,8,4,-1.0831600153649505
0,A,0.05,8,5,-0.6363201734163975
0,A,0.05,8,6,-0.33168285712172135
0,A,0.05,8,7,-0.45120232904109414
0,A,0.05,8,8,-0.23949724537012437
0,A,0.05,8,9,-0.8613178255960744
0,A,0.05,9,0,-0.30621683118468374
0,A,0.05,9,1,0.3409761497362886
0,A,0.05,9,2,-0.08298201275872455
0,A,0.05,9,3,-0.2772276819605857
0,A,0.05,9,4,0.09435886360249969
0,A,0.05,9,5,-0.5984577305711882
0,A,0.05,9,6,-0.09879846948480099
0,A,0.05,9,7,-0.464368585349735
0,A,0.05,9,8,0.05285546954211043
0,A,0.05,9,9,-0.17253831264454897
0,B,100,0,0,-3.7961657595026
0,B,100,0,1,-2.7244881369442218
0,B,100,0,2,-3.6802298241820948
0,B,100,0,3,-2.35341891191752
0,B,100,0,4,-3.732914406086553
0,B,100,0,5,-1.1631709239285006
0,B,100,0,6,-2.187868529655541
0,B,100,0,7,-2.5329679309251665
0,B,100,0,8,-3.7857653573174064
0,B,100,0,9,-3.0431853718561808
0,B,100,1,0,1.8222721439276315
0,B,100,1,1,2.310946977724601
0,B,100,1,2,2.052420244929405
0,B,100,1,3,2.0811111731891856
0,B,100,1,4,1.6303815678533835
0,B,100,1,5,2.0187768373501154
0,B,100,1,6,2.078121246428346
0,B,100,1,7,1.618679498485676
0,B,100,1,8,1.87950463978294
0,B,100,1,9,2.1525447776998132
0,B,100,2,0,-0.47858947054353673
0,B,100,2,1,0.12226261621242726
0,B,100,2,2,-0.4370852791507445
0,B,100,2,3,-0.22364449348135645
0,B,100,2,4,0.24981787254713375
0,B,100,2,5,-7.180660544002737e-05
0,B,100,2,6,-0.3771621298410249
0,B,100,2,7,0.08185094768443876
0,B,100,2,8,-0.368549614097449
0,B,100,2,9,-0.09387943793073852
0,B,100,3,0,-0.6250995322195325
0,B,100,3,1,-0.11071376139618926
0,B,100,3,2,-0.299070106817551
0,B,100,3,3,-0.09155523110899207
0,B,100,3,4,-0.27708141906023054
0,B,100,3,5,-0.2791077951890977
0,B,100,3,6,-0.49424533760102785
0,B,100,3,7,-0.18007030252522502
0,B,100,3,8,-0.3088791265821241
0,B,100,3,9,-0.5282477128589391
0,B,100,4,0,-0.3119546742962525
0,B,100,4,1,-0.40277741092191865
0,B,100,4,2,-0.1869085904504925
0,B,100,4,3,-0.31625812570189893
0,B,100,4,4,-0.571419677595307
0,B,100,4,5,-0.2175909193357288
0,B,100,4,6,-0.47295041729604737
0,B,100,4,7,-0.2448849041968797
0,B,100,4,8,-0.23797995981901038
0,B,100,4,9,-0.07066021126473326
0,B,100,5,0,-0.10372910182105717
0,B,100,5,1,0.10945148616274529
0,B,100,5,2,-0.35092389682133446
0,B,100,5,3,0.3618965994118156
0,B,100,5,4,0.36845882952883674
0,B,100,5,5,0.11542818817385826
0,B,100,5,6,0.31330954594899596
0,B,100,5,7,-0.08186915934353096
