run,variant,frequency,solution,generation,fitness
0,A,0.05,0,0,0.1568566035567311
0,A,0.05,0,1,0.5880980299401164
0,A,0.05,0,2,0.47086117379355497
0,A,0.05,0,3,0.7857091837237672
0,A,0.05,0,4,0.19864338336304233
0,A,0.05,0,5,0.6495487923797826
0,A,0.05,0,6,0.3986639601117756
0,A,0.05,0,7,0.3045539417124683
0,A,0.05,0,8,0.48552863368174287
0,A,0.05,0,9,-0.3579168049703931
0,A,0.05,0,10,0.4748084746363114
0,A,0.05,0,11,0.4027625899175767
0,A,0.05,0,12,0.45732762563811236
0,A,0.05,0,13,0.6236073553034036
0,A,0.05,0,14,0.6275130811452132
0,A,0.05,0,15,0.6164427201507235
0,A,0.05,0,16,0.6304691016853188
0,A,0.05,0,17,0.6154185128862499
0,A,0.05,0,18,0.41345979872346716
0,A,0.05,0,19,0.3839157306070413
0,A,0.05,1,0,0.7214763115929413
0,A,0.05,1,1,1.2664338174983512
0,A,0.05,1,2,0.6581752494503343
0,A,0.05,1,3,1.0288226058359315
0,A,0.05,1,4,0.2305526958245689
0,A,0.05,1,5,0.8011323225864948
0,A,0.05,1,6,0.32318444079009
0,A,0.05,1,7,0.5531370227534985
0,A,0.05,1,8,0.9650725443435543
0,A,0.05,1,9,0.7200894122740804
0,A,0.05,1,10,1.0870986666024236
0,A,0.05,1,11,1.0579900828537199
0,A,0.05,1,12,0.3214856045713386
0,A,0.05,1,13,1.2482419476403817
0,A,0.05,1,14,0.1417166810694646
0,A,0.05,1,15,0.5685211004595271
0,A,0.05,1,16,0.4498948138110542
0,A,0.05,1,17,0.5156496829632801
0,A,0.05,1,18,0.934423297845967
0,A,0.05,1,19,0.8122884416624817
0,A,0.05,2,0,0.5372573036597664
0,A,0.05,2,1,0.7951662135195477
0,A,0.05,2,2,1.4620431217240322
0,A,0.05,2,3,1.485274868724661
0,A,0.05,2,4,1.4329322307312315
0,A,0.05,2,5,1.4071056034786549
0,A,0.05,2,6,1.6583931787537805
0,A,0.05,2,7,0.9843276117811204
0,A,0.05,2,8,1.267964294301
0,A,0.05,2,9,1.3045832960697454
0,A,0.05,2,10,2.010270901576902
0,A,0.05,2,11,1.4021282455782877
0,A,0.05,2,12,1.9070046937338363
0,A,0.05,2,13,1.2021912927678142
0,A,0.05,2,14,0.6071151896623509
0,A,0.05,2,15,0.8219680504471157
0,A,0.05,2,16,1.498392792191313
0,A,0.05,2,17,1.4734056070943962
0,A,0.05,2,18,0.9892247967238015
0,A,0.05,2,19,0.9939586845885704
0,A,0.05,3,0,-1.8665522073589018
0,A,0.05,3,1,-1.502633430139415
0,A,0.05,3,2,-1.5525533861122172
0,A,0.05,3,3,-1.0534933826210011
0,A,0.05,3,4,-1.1660409740794022
0,A,0.05,3,5,-1.853788368690388
0,A,0.05,3,6,-1.6879438993776312
0,A,0.05,3,7,-1.886914582059228
0,A,0.05,3,8,-1.7874678278040255
0,A,0.05,3,9,-1.6627673668706564
0,A,0.05,3,10,-1.5246732510688712
0,A,0.05,3,11,-1.1953590352600991
0,A,0.05,3,12,-1.4919220662000683
0,A,0.05,3,13,-2.1479115613983146
0,A,0.05,3,14,-1.825844542452558
0,A,0.05,3,15,-1.9490056537980136
0,A,0.05,3,16,-1.9829064136572718
0,A,0.05,3,17,-1.678967551944169
0,A,0.05,3,18,-1.6713554363850958
0,A,0.05,3,19,-2.1886266064757023
0,A,0.05,4,0,-1.1615434581492141
0,A,0.05,4,1,-1.0573377560200412
0,A,0.05,4,2,-0.6405362148521853
0,A,0.05,4,3,-1.379073189998233
