run,variant,frequency,solution,generation,fitness
0,A,0.05,0,0,-0.49995735086637266
0,A,0.05,0,1,-0.039177971993172675
0,A,0.05,0,2,-0.5284494014815343
0,A,0.05,0,3,-0.37682009653304854
0,A,0.05,0,4,-0.19510169215351927
0,A,0.05,0,5,0.18128758408083498
0,A,0.05,0,6,-0.31147108333990253
0,A,0.05,0,7,-0.00784137855326401
0,A,0.05,0,8,-0.4433291394913561
0,A,0.05,0,9,-0.24361769109405337
0,A,0.05,0,10,-0.2264611149301093
0,A,0.05,0,11,-0.12254015583982421
0,A,0.05,0,12,-0.7226532874251657
0,A,0.05,0,13,-0.2679806243677185
0,A,0.05,0,14,-0.27671714398010777
0,A,0.05,0,15,-0.15600976391658558
0,A,0.05,0,16,0.0518335067292139
0,A,0.05,0,17,-0.41179276680324134
0,A,0.05,0,18,-0.19449588030353046
0,A,0.05,0,19,-0.5159609319748544
0,A,0.05,0,20,-0.007372225071478464
0,A,0.05,0,21,-0.43620096652765084
0,A,0.05,0,22,-0.15632939562773124
0,A,0.05,0,23,-0.03641641689614861
0,A,0.05,0,24,-0.8405669064245402
0,A,0.05,0,25,-0.6803430668218309
0,A,0.05,0,26,-0.46151057583367666
0,A,0.05,0,27,-0.39628923446975317
0,A,0.05,0,28,0.05484982266397217
0,A,0.05,0,29,-0.21737806898257778
0,A,0.05,0,30,-0.5834442272258102
0,A,0.05,0,31,-0.01623064461696578
0,A,0.05,0,32,-0.4194344791126185
0,A,0.05,0,33,-0.2001890489938571
0,A,0.05,0,34,-0.5277420223001925
0,A,0.05,0,35,-0.6644811049818145
0,A,0.05,0,36,0.09508343497925736
0,A,0.05,0,37,-0.3336995472301636
0,A,0.05,0,38,-0.07259225217057667
0,A,0.05,0,39,-0.02615379334637445
0,A,0.05,0,40,-0.698371681177787
0,A,0.05,0,41,-0.43008414662297645
0,A,0.05,0,42,-0.04437845463638917
0,A,0.05,0,43,-0.32301217061037607
0,A,0.05,0,44,-0.4204809390511718
0,A,0.05,0,45,-0.10319514185438407
0,A,0.05,0,46,-0.19568841875569978
0,A,0.05,0,47,-0.14483310219133158
0,A,0.05,0,48,-0.3692868199745938
0,A,0.05,0,49,-0.11151337036026539
0,A,0.05,1,0,-0.22817719216856608
0,A,0.05,1,1,-0.4371872228987048
0,A,0.05,1,2,-0.674593464533739
0,A,0.05,1,3,-0.2753159035884431
0,A,0.05,1,4,-0.11513221906804239
0,A,0.05,1,5,-0.02537686814671427
0,A,0.05,1,6,-0.41433989762797163
0,A,0.05,1,7,-0.7322678774787323
0,A,0.05,1,8,-0.9277438423254164
0,A,0.05,1,9,-0.4822306455226879
0,A,0.05,1,10,-0.5691642712226542
0,A,0.05,1,11,-0.2635049319924152
0,A,0.05,1,12,-1.0993829634168746
0,A,0.05,1,13,-0.7020869371728552
0,A,0.05,1,14,-0.5369900446367836
0,A,0.05,1,15,-0.48659379850927653
0,A,0.05,1,16,-0.488354644858444
0,A,0.05,1,17,-0.5562656218876154
0,A,0.05,1,18,-0.1595008808476024
0,A,0.05,1,19,-0.5591703745151498
0,A,0.05,1,20,-0.7711370458660398
0,A,0.05,1,21,-0.296949060726694
0,A,0.05,1,22,-0.41893510570721765
0,A,0.05,1,23,-0.7348842854853042
0,A,0.05,1,24,-0.5172832722449978
0,A,0.05,1,25,-0.9389600862954964
0,A,0.05,1,26,-0.5341060140705176
0,A,0.05,1,27,-0.29417140839353034
0,A,0.05,1,28,-0.8595408420761905
0,A,0.05,1,29,-0.3427965255758752
0,A,0.05,1,30,-0.4913124206164086
0,A,0.05,1,31,-0.757486181966366
0,A,0.05,1,32,-0.537793433087333
0,A,0.05,1,33,-0.5783930293455246
0,A,0.05,1,34,-0.4405094428112177
0,A,0.05,1,35,-0.09209207360978793
